name,group,corr_coeff
qPFJetPt,mean,0.9913744220387469
qPFJetPt,RMS,0.8483976408805368
qPFJetPt,Q1,0.2393643655667804
qPFJetPt,Q2,0.9969487064547898
qPFJetPt,Q3,0.996765901395458
qPFJetPt,Q4,0.9961635066574078
qPFJetPt,Q5,0.16139845919857107
qPFJetEta,mean,0.2631477059825372
qPFJetEta,RMS,0.9964961716073277
qPFJetEta,Q1,0.3287580575102215
qPFJetEta,Q2,0.9865673256894805
qPFJetEta,Q3,0.2106443853295454
qPFJetEta,Q4,0.9847096875126656
qPFJetEta,Q5,0.5091633216371584
qPFJetPhi,mean,0.16207240586843824
qPFJetPhi,RMS,0.3683728121234686
qPFJetPhi,Q1,0.4573065108542917
qPFJetPhi,Q2,0.14165795473558915
qPFJetPhi,Q3,0.29972755036463283
qPFJetPhi,Q4,0.3485873596559517
qPFJetPhi,Q5,0.455173513542731
qPFJet0Pt,mean,0.781791454700625
qPFJet0Pt,RMS,0.08054172640068563
qPFJet0Pt,Q1,0.3855015970725684
qPFJet0Pt,Q2,0.9316592937649686
qPFJet0Pt,Q3,0.8880131246796624
qPFJet0Pt,Q4,0.5744781121365187
qPFJet0Pt,Q5,0.16140567960140167
qPFJet1Pt,mean,0.987748631356582
qPFJet1Pt,RMS,0.8241729364196317
qPFJet1Pt,Q1,0.23251498898774745
qPFJet1Pt,Q2,0.9962351864292158
qPFJet1Pt,Q3,0.9957097879989223
qPFJet1Pt,Q4,0.993072193728323
qPFJet1Pt,Q5,0.7203517517270148
qPFJet2Pt,mean,0.9964133025428997
qPFJet2Pt,RMS,0.7787746302253116
qPFJet2Pt,Q1,0.22508132199275613
qPFJet2Pt,Q2,0.9970453054077935
qPFJet2Pt,Q3,0.9968634313688386
qPFJet2Pt,Q4,0.9959411659473131
qPFJet2Pt,Q5,0.51061090809691
qPFJet3Pt,mean,0.9973462050115158
qPFJet3Pt,RMS,0.9411362531012897
qPFJet3Pt,Q1,0.26867748920712253
qPFJet3Pt,Q2,0.9971790237507435
qPFJet3Pt,Q3,0.9970434214994732
qPFJet3Pt,Q4,0.9963941694631376
qPFJet3Pt,Q5,0.583956052041983
qPFJet4Pt,mean,0.9975670500802294
qPFJet4Pt,RMS,0.8888057345466652
qPFJet4Pt,Q1,0.3479339372905678
qPFJet4Pt,Q2,0.997000570689345
qPFJet4Pt,Q3,0.9969715204597777
qPFJet4Pt,Q4,0.9962608150443757
qPFJet4Pt,Q5,0.6110006102362896
qPFJet5Pt,mean,0.42290658225084304
qPFJet5Pt,RMS,0.684972675507801
qPFJet5Pt,Q1,0.44784965259768
qPFJet5Pt,Q2,0.6039773704975625
qPFJet5Pt,Q3,0.738474141555206
qPFJet5Pt,Q4,0.8034836879879584
qPFJet5Pt,Q5,0.5437967173134279
qPFJet0Eta,mean,0.024602408779523063
qPFJet0Eta,RMS,0.17556173932218574
qPFJet0Eta,Q1,0.18649853996554944
qPFJet0Eta,Q2,0.19403116840920276
qPFJet0Eta,Q3,0.013390049611717447
qPFJet0Eta,Q4,0.1801329631948618
qPFJet0Eta,Q5,0.20191411778651197
qPFJet1Eta,mean,0.06329101142139344
qPFJet1Eta,RMS,0.9245504118898772
qPFJet1Eta,Q1,0.07252716762456307
qPFJet1Eta,Q2,0.6840156752726116
qPFJet1Eta,Q3,0.044608488181024517
qPFJet1Eta,Q4,0.6435027654957685
qPFJet1Eta,Q5,0.056806304679531926
qPFJet2Eta,mean,0.019738157185981542
qPFJet2Eta,RMS,0.9125151828535771
qPFJet2Eta,Q1,0.28431252945470575
qPFJet2Eta,Q2,0.6440968699789419
qPFJet2Eta,Q3,0.024744337315323946
qPFJet2Eta,Q4,0.6579488365528973
qPFJet2Eta,Q5,0.2876548360429007
qPFJet3Eta,mean,0.03140778907912699
qPFJet3Eta,RMS,0.905188434035712
qPFJet3Eta,Q1,0.5119394380527817
qPFJet3Eta,Q2,0.4774652133734886
qPFJet3Eta,Q3,0.027870523236043145
qPFJet3Eta,Q4,0.49805177361222475
qPFJet3Eta,Q5,0.49317174903795813
qPFJet4Eta,mean,0.05250094616461414
qPFJet4Eta,RMS,0.9344713216604966
qPFJet4Eta,Q1,0.5446956437560554
qPFJet4Eta,Q2,0.40345622813426685
qPFJet4Eta,Q3,0.04507766183056188
qPFJet4Eta,Q4,0.3924614489312353
qPFJet4Eta,Q5,0.5484602850551566
qPFJet5Eta,mean,0.05072129286930291
qPFJet5Eta,RMS,0.9585799297979363
qPFJet5Eta,Q1,0.7058836883297188
qPFJet5Eta,Q2,0.43924030286542015
